job_title,company_name,posting_date,job_type,industry,stipend,location
Graduate Engineer Trainee,TATA Power Limited,"24 Oct 2024, 11:39 AM",Full Time,Power / Energy,"INR 6,97,000 ",PAN India
Consulting Sales Engineer,Keyence India Private Limited,"22 Oct 2024, 12:31 PM",Full Time,Core Electrical Engineering / Manufacturing,"INR 5,91,000 ","Multiple locations <span class=""jss260"">&gt;</span>"
Application Development,KavayahCloud Private Limited,"21 Oct 2024, 01:16 PM",Internship,IT Product &amp; Services,"INR 10,000  - INR 15,000","Gandhinagar, Gujarat, India"
Graduate Engineer Trainee,Orangewood Research and Advancement Private Limited,"19 Oct 2024, 12:08 PM",Internship + Full-Time,IT Product &amp; Services,"INR 6,00,000  - INR 10,00,000",PAN India
Systems Engineer,Infosys Limited,"15 Oct 2024, 03:03 PM",Full Time,IT / Computers - Software,"INR 3,60,000 ",PAN India
Lean Consultant - Batch B,Gemba Concepts,"15 Oct 2024, 01:12 PM",Internship + Full-Time,IT Product &amp; Services,"INR 4,50,000 ",Remote Working
"Software Development Engineer - Frontend, Machine Learning Engineers",Commotion,"15 Oct 2024, 11:12 AM",Internship + Full-Time,IT Product &amp; Services,"INR 25,00,000 ","Mumbai, Maharashtra, India"
"Jr. Software Developer, Jr. Software Developer",Sciative Solutions Private Limited,"14 Oct 2024, 04:29 PM",Internship + Full-Time,IT Product &amp; Services,"INR 6,30,000 ","Multiple locations <span class=""jss260"">&gt;</span>"
Graduate Engineer Trainee,Injala,"12 Oct 2024, 05:17 PM",Internship + Full-Time,IT Product &amp; Services,"INR 5,00,000 ","Ahmedabad, Gujarat, India"
Internship - Firmware,HALMA India Private Limited,"10 Oct 2024, 03:24 PM",Internship + Full-Time,IT / Computers - Software,"INR 10,00,000 ","Ahmedabad, Gujarat, India"
Software Engineering Intern,NVIDIA Corporation,"08 Oct 2024, 03:25 PM",Internship,IT Product &amp; Services,"INR 80,000 ","Multiple locations <span class=""jss260"">&gt;</span>"
Project Trainee / Intern,"Conga, The Revenue Company","07 Oct 2024, 08:36 PM",Internship + Full-Time,IT Product &amp; Services,"INR 8,40,000 ","Ahmedabad, Gujarat, India"
Analyst – Technology & Transformation – EAD - ADMM,Deloitte Shared Services India LLP,"07 Oct 2024, 10:09 AM",Internship + Full-Time,Consultancy,"INR 7,60,000 ",PAN India
Graduate Engineer Trainee,Sahajanand Technologies Private Limited (STPL),"06 Oct 2024, 11:52 PM",Internship + Full-Time,Manufacturing / Core,"INR 5,00,000 ","Surat City, Gujarat, India"
SDE Intern,Titan Company Limited,"06 Oct 2024, 09:22 AM",Internship,Electrical / Switchgear,"INR 1,00,000 ","Bengaluru, Karnataka, India"
Graduate Engineer Trainee,Riviera Infraprojects Private Limited,"05 Oct 2024, 08:24 PM",Full Time,Construction &amp; Engineering,"INR 3,36,000 ","Ahmedabad, Gujarat, India"
Graduate Engineer,AtkinsRéalis Group Inc.,"01 Oct 2024, 09:32 AM",Internship + Full-Time,Core Engineering,"INR 5,70,000 ",PAN India
Trainee Quantitative Traders / Quantitative Strategist,Miracles Fintech Private Limited,"01 Oct 2024, 08:58 AM",Internship + Full-Time,Technology,"INR 4,00,000 ","Ahmedabad, Gujarat, India"
R&D Intern,Samsung R&D,"30 Sep 2024, 02:23 PM",Internship + Full-Time,Consumer Electronics / Appliances,"Noida, Uttar Pradesh, India"," 01 Oct, 2024
             -
            02:30 PM"
Graduate Engineer Trainee,Asahi India Glass Limited,"27 Sep 2024, 03:07 PM",Internship + Full-Time,Glass,"INR 4,50,000 ","Patan, Gujarat, India"
"Graduate Engineer Trainee, Hardware Engineer",NXP Semiconductors,"27 Sep 2024, 12:09 PM",Internship + Full-Time,Semiconductor,"INR 23,00,000 ",Remote Working
AI R&D Intern,Tcules,"26 Sep 2024, 06:55 PM",Internship,IT / ITES,"INR 15,000  - INR 20,000","Ahmedabad, Gujarat, India"
Hardware Engineering Intern,Google IT Services India Private Limited,"26 Sep 2024, 12:10 PM",Internship + Full-Time,IT / ITES,"INR 15,00,000 ",PAN India
Executive Management Trainee,Prakash Chemicals International Private Limited,"25 Sep 2024, 02:30 PM",Full Time,Chemicals / Petrochemicals / Polymer,"INR 4,89,100 ","Vadodara, Gujarat, India"
Software Engineer - Trainee,Mindarray Systems Private Limited,"25 Sep 2024, 01:57 PM",Internship + Full-Time,IT / Computers - Software,"INR 7,00,000 ","Ahmedabad, Gujarat, India"
Graduate Trainee,Johnson Controls-Hitachi Air Conditioning India Limited,"25 Sep 2024, 12:11 PM",Full Time,HVAC,"INR 7,00,000  - INR 7,50,000",PAN India
"Splunk Implementation Engineer, Technical Support Engineer",Crest Data Systems,"24 Sep 2024, 09:14 AM",Internship + Full-Time,IT / ITES,"INR 6,00,000 ","Ahmedabad, Gujarat, India"
Hardware Engineer-I,"Cisco Systems, Inc.","23 Sep 2024, 01:48 PM",Internship + Full-Time,IT Product &amp; Services,"INR 24,73,633 ",PAN India
Embedded Hardware Engineer,Glide Technology Private Limited,"23 Sep 2024, 08:59 AM",Internship + Full-Time,IT Product &amp; Services,"INR 6,00,000 ","Ahmedabad, Gujarat, India"
Graduate Engineer Trainee,Hitech Projects Private Limited,"20 Sep 2024, 12:39 PM",Internship + Full-Time,Construction &amp; Engineering,"INR 3,36,000 ","Gujarat, India"
Hardware Engineering Intern,NVIDIA Corporation,"19 Sep 2024, 11:40 AM",Internship + Full-Time,IT Product &amp; Services,"INR 16,00,000  - INR 28,99,758","Multiple locations <span class=""jss260"">&gt;</span>"
Graduate Engineer Trainee,Carrier Airconditioning & Refrigeration Limited,"15 Sep 2024, 12:54 PM",Full Time,HVAC,"INR 7,50,000 ",PAN India
Graduate Engineer Trainee,Skipper Limited,"11 Sep 2024, 03:25 PM",Full Time,Construction &amp; Engineering,"INR 5,50,000 ","Ahmedabad, Gujarat, India"
"Graduate Engineer Trainee, Data Analyst, Mobile App Developer, Back End Developer, Front End Developer",Medkart Pharmacy Private Limited,"10 Sep 2024, 12:38 PM",Internship + Full-Time,Dotcom / Internet / E-commerce,"INR 5,50,000 ",Remote Working
Graduate Engineer Traine,Secure Meters Limited,"10 Sep 2024, 11:23 AM",Internship + Full-Time,Electrical / Switchgear,"INR 5,00,000 ","Sanand, Gujarat, India"
Graduate Engineer Trainee,DCM Shriram Limited,"06 Sep 2024, 03:41 PM",Full Time,Core Engineering,"INR 6,50,000 ","Bharuch, Gujarat, India"
Graduate Engineer Trainee,Siemens Energy Industrial Turbomachinery India Private Limited,"04 Sep 2024, 11:52 AM",Full Time,Core Engineering,"INR 5,00,000  - INR 6,00,000","Ahmedabad, Gujarat, India"
"Power Analyst, Python Developer",Ananta Consulting Group,"27 Aug 2024, 06:42 PM",Internship + Full-Time,Consultancy,"INR 4,00,000  - INR 6,00,000","Vadodara, Gujarat, India"
